fips,total_deaths,covid_deaths,urban_rural_desc,pct_covid_deaths,county,state
39083,1268,138,Micropolitan,0.10883280757097792,Knox,Ohio
39085,4447,428,Large fringe metro,0.09624465932089049,Lake,Ohio
39089,3309,319,Large fringe metro,0.09640374735569658,Licking,Ohio
39093,6146,690,Large fringe metro,0.11226814188089815,Lorain,Ohio
39095,12645,1697,Medium metro,0.13420324238829576,Lucas,Ohio
39099,7903,1018,Medium metro,0.1288118436036948,Mahoning,Ohio
39101,1702,308,Micropolitan,0.1809635722679201,Marion,Ohio
39103,2684,228,Large fringe metro,0.08494783904619971,Medina,Ohio
39109,2268,275,Medium metro,0.12125220458553791,Miami,Ohio
39113,17171,2247,Medium metro,0.1308601712189156,Montgomery,Ohio
39119,2561,324,Micropolitan,0.12651308082780163,Muskingum,Ohio
39129,992,115,Large fringe metro,0.1159274193548387,Pickaway,Ohio
39133,2797,246,Medium metro,0.08795137647479442,Portage,Ohio
39139,3118,390,Small metro,0.12508017960230916,Richland,Ohio
39141,2239,307,Micropolitan,0.13711478338543992,Ross,Ohio
39143,1214,136,Micropolitan,0.11202635914332784,Sandusky,Ohio
39145,2551,262,Micropolitan,0.10270482163857311,Scioto,Ohio
39147,986,107,Micropolitan,0.10851926977687627,Seneca,Ohio
39151,10423,1484,Medium metro,0.14237743451981194,Stark,Ohio
39153,13756,1438,Medium metro,0.10453620238441408,Summit,Ohio
39155,4585,496,Medium metro,0.10817884405670665,Trumbull,Ohio
39157,2326,337,Micropolitan,0.14488392089423904,Tuscarawas,Ohio
39165,3944,343,Large fringe metro,0.08696754563894524,Warren,Ohio
39167,1916,294,Micropolitan,0.1534446764091858,Washington,Ohio
39169,2451,315,Micropolitan,0.12851897184822522,Wayne,Ohio
39173,2514,181,Medium metro,0.07199681782020684,Wood,Ohio
40013,1086,163,Micropolitan,0.15009208103130756,Bryan,Oklahoma
40017,1548,168,Large fringe metro,0.10852713178294573,Canadian,Oklahoma
40019,1292,194,Micropolitan,0.15015479876160992,Carter,Oklahoma
40021,1094,173,Micropolitan,0.15813528336380256,Cherokee,Oklahoma
40027,4464,606,Large fringe metro,0.135752688172043,Cleveland,Oklahoma
40031,2486,347,Small metro,0.13958165728077232,Comanche,Oklahoma
40041,1005,127,Noncore,0.1263681592039801,Delaware,Oklahoma
40047,1617,260,Micropolitan,0.16079158936301793,Garfield,Oklahoma
40051,957,105,Large fringe metro,0.109717868338558,Grady,Oklahoma
40071,1033,139,Micropolitan,0.1345595353339787,Kay,Oklahoma
40101,2165,328,Micropolitan,0.1515011547344111,Muskogee,Oklahoma
40109,22949,3394,Large central metro,0.14789315438581202,Oklahoma,Oklahoma
40119,1202,123,Micropolitan,0.10232945091514144,Payne,Oklahoma
